date,open,close,high,low,volume,amount
2023-01-03,5861.55,5955.9,5964.82,5848.15,99557837,119271237764.2
2023-01-04,5952.51,5952.45,5970.58,5922.86,97160441,114358731440.4
2023-01-05,5959.44,6010.46,6017.34,5950.09,96629979,117479981150.9
2023-01-06,6004.17,6012.82,6050.89,5998.83,99244877,121596399779.3
2023-01-09,6028.4,6040.02,6070.16,6023.64,100696829,124921325580.9
2023-01-10,6044.64,6048.3,6053.58,6017.15,96393351,113967056402.2
2023-01-11,6049.04,6014.16,6070.45,6004.22,94406389,112879598037.5
2023-01-12,6022.56,6015.29,6048.19,5995.91,92900124,104902996993.9
2023-01-13,6030.93,6057.69,6058.22,6015.22,90025020,102449872563.5
2023-01-16,6068.91,6126.18,6168.74,6068.14,129619730,146526749755.3
2023-01-17,6129.73,6132.64,6138.17,6107.76,95921699,109180206701.1
2023-01-18,6139.69,6151.46,6168.37,6136.97,94555836,103052545401.6
2023-01-19,6145.62,6204.33,6204.33,6130.42,99777793,114472416014.4
2023-01-20,6214.03,6251.43,6253.27,6214.03,113904542,128362190660.4
2023-01-30,6331.88,6283.33,6342.45,6279.45,146517920,173697713880.0
2023-01-31,6266.3,6289.15,6303.91,6259.53,135302093,146630404005.4
2023-02-01,6300.5,6365.91,6368.79,6293.49,152442220,166449081743.9
2023-02-02,6383.3,6370.14,6402.26,6347.73,149292811,166213113911.5
2023-02-03,6354.71,6343.69,6354.71,6267.44,121507182,138714379584.2
2023-02-06,6314.6,6302.33,6330.79,6274.54,108485308,127652063425.2
2023-02-07,6309.22,6317.24,6318.84,6273.6,109662683,125078065034.8
2023-02-08,6319.52,6268.28,6323.85,6263.76,105994895,116986269907.4
2023-02-09,6256.31,6354.56,6354.8,6250.45,109031119,129044254163.8
2023-02-10,6349.0,6334.25,6368.49,6296.55,120100829,134994907399.5
2023-02-13,6333.22,6383.83,6386.72,6331.37,131566227,151374560994.8
2023-02-14,6394.62,6397.21,6408.55,6369.57,124674389,143967118961.2
2023-02-15,6398.87,6384.35,6407.75,6365.31,115907022,143472324421.4
2023-02-16,6384.21,6289.48,6429.05,6244.48,168388416,190791364474.4
2023-02-17,6284.92,6237.41,6308.57,6237.41,117210985,143422448167.7
2023-02-20,6248.26,6346.07,6349.41,6227.35,140334075,157289265128.8
2023-02-21,6349.91,6383.42,6396.74,6337.6,141824714,153705795821.1
2023-02-22,6352.03,6375.07,6397.15,6344.99,109083029,128341320025.0
2023-02-23,6377.29,6360.32,6396.66,6328.64,116064654,135992246881.1
2023-02-24,6367.63,6340.84,6372.49,6308.22,96957281,119877925583.4
2023-02-27,6318.64,6307.21,6349.09,6288.3,101082738,124887490151.6
2023-02-28,6323.84,6357.54,6357.54,6293.18,96603163,119094834715.1
2023-03-01,6356.5,6402.14,6410.52,6340.0,123907639,144327640100.9
2023-03-02,6398.26,6382.23,6410.23,6375.01,125349297,147597102774.1
2023-03-03,6384.06,6390.32,6398.47,6346.96,123234775,140273359354.4
2023-03-06,6398.1,6395.22,6405.82,6362.47,126845634,155123686031.2
2023-03-07,6389.81,6284.3,6396.54,6284.22,137928869,149308292189.0
2023-03-08,6264.43,6301.52,6303.71,6258.32,98698357,114463801002.9
2023-03-09,6311.04,6285.95,6311.34,6258.45,92688914,111866575503.5
2023-03-10,6251.56,6204.9,6261.33,6202.61,108052290,129144574718.6
2023-03-13,6189.98,6245.0,6245.0,6178.67,108006552,132474098352.3
2023-03-14,6237.73,6189.4,6243.42,6127.69,121200145,149977754662.0
2023-03-15,6210.93,6224.64,6254.49,6210.93,112948528,129455795140.3
2023-03-16,6191.3,6140.83,6209.97,6133.83,127632685,143759016862.1
2023-03-17,6174.19,6183.18,6233.75,6169.84,137108334,157222487365.1
2023-03-20,6195.35,6160.35,6201.97,6152.81,145580891,167826184366.7
2023-03-21,6171.89,6234.68,6235.01,6171.28,123025331,144174739305.4
2023-03-22,6244.36,6269.74,6271.52,6242.16,128266386,149867921197.4
2023-03-23,6253.58,6305.76,6305.76,6245.98,129179648,164124553074.5
2023-03-24,6312.43,6310.1,6315.68,6279.54,141020989,179449338405.6
2023-03-27,6304.48,6311.6,6320.66,6265.01,144664863,184209306469.8
2023-03-28,6314.58,6279.92,6331.56,6272.72,139156104,174935282609.8
2023-03-29,6285.95,6260.55,6294.3,6239.94,131548284,166565424024.2
2023-03-30,6257.64,6286.18,6287.44,6213.97,123218599,155158644767.8
2023-03-31,6284.85,6339.82,6343.23,6282.14,129489835,164138969077.5
2023-04-03,6346.69,6413.81,6419.87,6346.69,163921048,215330527397.2
2023-04-04,6414.82,6408.9,6423.31,6377.53,157491755,218740913531.4
2023-04-06,6387.23,6416.85,6428.72,6382.03,144064448,207002794759.6
2023-04-07,6418.26,6464.47,6470.09,6416.68,127964625,177737436540.0
2023-04-10,6474.94,6410.52,6476.22,6395.37,145134187,203397862936.4
2023-04-11,6405.63,6420.88,6421.49,6381.06,142399109,188800337843.3
2023-04-12,6415.7,6443.44,6450.35,6407.2,149447956,188164796583.5
2023-04-13,6438.16,6404.65,6451.79,6396.02,156199573,196031015021.2
2023-04-14,6420.31,6431.07,6444.89,6390.92,145300668,190743030851.0
2023-04-17,6422.87,6459.24,6459.24,6421.39,168823079,196752268308.1
2023-04-18,6448.76,6449.85,6462.25,6422.05,143471341,184598154225.6
2023-04-19,6444.87,6416.97,6456.15,6404.99,148699774,192403574162.7
2023-04-20,6408.81,6411.76,6413.08,6376.35,150501294,196199845238.5
2023-04-21,6411.51,6250.54,6411.51,6250.54,162313297,210802112228.2
2023-04-24,6250.96,6208.78,6260.54,6184.71,147694845,191204975164.8
2023-04-25,6205.62,6118.15,6208.4,6042.64,162459277,200847244830.6
2023-04-26,6095.13,6142.15,6178.17,6093.2,152166354,197699832955.3
2023-04-27,6127.64,6157.94,6190.25,6121.61,143136116,179308956550.4
2023-04-28,6151.64,6241.24,6245.55,6151.64,167876482,199335712325.8
2023-05-04,6223.23,6262.39,6264.52,6218.78,202487970,215098748101.1
2023-05-05,6255.7,6200.58,6256.23,6172.69,178261017,192217857467.7
2023-05-08,6202.68,6248.58,6259.69,6200.15,202718255,198162493586.1
2023-05-09,6242.66,6181.98,6274.9,6177.65,224389467,215437054342.0
2023-05-10,6167.13,6173.81,6199.16,6137.15,175453727,180485291578.1
2023-05-11,6185.67,6154.47,6190.39,6151.07,146064946,152275213604.4
2023-05-12,6138.94,6091.65,6173.91,6088.22,140410664,142316419328.4
2023-05-15,6094.68,6159.39,6159.39,6036.81,149843583,159620224620.0
2023-05-16,6159.17,6110.83,6159.17,6095.69,121841116,142447474647.0
2023-05-17,6097.98,6122.05,6137.02,6090.88,107266349,125585549046.7
2023-05-18,6132.52,6128.18,6153.99,6101.24,122942111,144557618052.5
2023-05-19,6116.84,6117.08,6149.14,6085.04,119304896,147524516028.4
2023-05-22,6111.84,6115.32,6136.86,6086.23,112715682,126363418363.6
2023-05-23,6114.21,6052.43,6117.36,6052.43,111104244,120628486661.7
2023-05-24,6032.69,6005.79,6058.39,5988.03,107223414,116914166402.6
2023-05-25,6000.22,5988.19,6028.64,5926.2,109922832,126769237204.5
2023-05-26,5983.14,6034.98,6045.13,5953.88,106381588,123263014837.6
2023-05-29,6046.54,6025.16,6058.92,6012.4,125139417,146808330637.6
2023-05-30,6008.46,6061.31,6061.31,5960.34,127312017,151849134859.6
2023-05-31,6044.02,6047.8,6063.19,6009.25,117476106,144653727477.5
2023-06-01,6028.8,6051.46,6094.24,6008.27,126250315,154907281920.7
2023-06-02,6061.91,6105.22,6115.07,6061.91,122306738,142073539923.0
2023-06-05,6102.13,6097.11,6107.12,6075.59,115747953,131118706647.8
2023-06-06,6088.66,5983.42,6089.07,5969.29,123045387,133636232835.4
2023-06-07,5982.31,5987.01,6010.03,5969.16,93597892,113593743557.7
2023-06-08,5971.72,5966.15,5992.97,5922.39,108981632,124387889683.3
2023-06-09,5968.7,6009.58,6017.28,5960.11,127553432,158760400688.5
2023-06-12,5999.62,6027.71,6045.66,5987.27,113612471,151203107291.2
2023-06-13,6016.69,6044.04,6047.06,6014.06,98680298,134425849549.1
2023-06-14,6046.44,6044.08,6064.29,6034.47,109689021,148046160093.7
2023-06-15,6049.47,6096.81,6100.23,6046.16,118417734,165700035083.1
2023-06-16,6094.84,6148.01,6154.93,6091.18,115349568,165690149218.5
2023-06-19,6148.85,6131.38,6148.85,6126.39,113787209,164780447140.9
2023-06-20,6122.74,6126.11,6144.01,6100.14,106630832,161419763306.8
2023-06-21,6104.25,5990.85,6104.25,5990.79,106447766,154200972220.3
2023-06-26,5947.57,5887.03,5970.61,5875.94,111081791,148203624502.1
2023-06-27,5897.69,5948.0,5956.18,5884.95,93039155,118625135535.9
2023-06-28,5945.64,5942.31,5951.13,5857.13,93944302,128454934662.7
2023-06-29,5928.71,5940.58,5964.86,5924.28,88376857,123484005846.8
2023-06-30,5931.87,5998.73,6016.45,5927.94,94504668,133367471516.9
2023-07-03,6009.27,6042.31,6056.16,5997.85,113075905,153065229521.6
2023-07-04,6042.72,6055.26,6059.57,6027.29,105583765,144484638910.0
